股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
600763,通策医疗,2020-03-31,2,增持,1635917,0.51020366,1377917,534.076356589147
300009,安科生物,2020-03-31,2,增持,154800,0.01473836,27100,21.221613155834
002157,正邦科技,2020-03-31,2,增持,10065800,0.40140224,10009800,17874.6428571429
300033,同花顺,2020-03-31,2,减持,12400,0.00230655,-60900,-83.0832196452933
600988,赤峰黄金,2020-03-31,2,减持,156200,0.00938752,-12343800,-98.7504
600176,中国巨石,2020-03-31,2,减持,380900,0.01087569,-7814128,-95.3520598099238
300212,易华录,2020-03-31,2,减持,68500,0.01264521,-83600,-54.9638395792242
002626,金达威,2020-03-31,2,增持,7600,0.0012328,7600,100
600681,百川能源,2020-03-31,2,增持,35524027,2.46226065,9044027,34.1541805135952
600507,方大特钢,2020-03-31,2,增持,1061172,0.07329698,1061172,100
600845,宝信软件,2020-03-31,2,减持,8100,0.0007103,-17900,-68.8461538461538
002601,龙蟒佰利,2020-03-31,2,减持,377000,0.01855296,-667500,-63.9061752034466
002424,贵州百灵,2020-03-31,2,减持,93072522,6.59527508,-68273978,-42.3151280009173
002568,百润股份,2020-03-31,2,增持,2505169,0.48194617,201069,8.72657436743197
300308,中际旭创,2020-03-31,2,减持,21100,0.00295864,-7400,-25.9649122807018
002706,良信电器,2020-03-31,2,减持,337150,0.04294817,-19062909,-98.262118687371
603018,中设集团,2020-03-31,2,增持,232600,0.05008908,207600,830.4
300393,中来股份,2020-03-31,2,增持,30007,0.00693861,30007,100
000166,申万宏源,2020-03-31,2,增持,126400,0.00050479,126400,100
603788,宁波高发,2020-03-31,2,增持,36000,0.01613879,36000,100
603969,银龙股份,2020-03-31,2,增持,23420000,2.78478002,8820000,60.4109589041096
